"specimen","pcb138","pcb153","pcb180","pcb28","pcb52","pcb126","pcb118","pcb","teq","teqpcb","teqdioxin","teqfuran"
34,8.22,12,7.07,0.115,0.531,0.0066,2.56,79.0347,1.93833,1.28179,0.44154,0.215
35,9.5,11.1,9.47,0.24,0.752,0.006,2.42,97.8119,2.06698,1.2633,0.50768,0.296
36,4.88,9.78,2.69,0.215,0.304,0.008,2.6,44.887,2.17268,1.30172,0.73346,0.1375
37,5.75,6.95,3.1,0.197,0.595,0.0156,1.85,58.2125,2.25169,2.04169,0.13,0.08
38,5.48,7.22,5.46,0.317,0.352,0.0082,1.54,57.4186,2.3496,1.24755,0.93535,0.1667
39,8.08,9.41,3.37,0.006,0.065,0.0112,3.58,57.4938,2.3914,1.9404,0.401,0.05
40,3.29,3.53,2.37,0.375,0.34,0.0069,1.35,33.5817,2.39621,1.04805,1.17516,0.173
41,3.73,3.71,1.02,6.93,5.86,0.0074,3.89,115.7361,2.56248,1.55891,0.74655,0.257
42,1.36,1.21,0.624,0.121,0.269,0,0.508,14.8479,2.70326,0.13567,2.15359,0.414
43,9.92,10.6,2.81,0.532,1.26,0.0136,4.77,91.6305,2.77235,2.39235,0.2,0.18
44,8.65,10.8,6.21,0.409,0.428,0.0152,3.68,92.1625,3.06526,2.40526,0.328,0.332
45,4.56,4.13,1.15,0.062,0.307,0.0069,2.71,37.0122,3.07261,1.3254,1.51721,0.23
46,8.78,11.1,4.69,0.207,0.892,0.0097,3.85,87.6535,3.08839,1.89762,1.00107,0.1897
47,13.1,13.7,7.63,0.432,0.981,0.0128,4.81,111.3631,3.09832,2.47533,0.40245,0.2205
48,5.99,5.91,3.06,0.126,0.062,0.0155,2.64,47.9596,3.16025,2.21225,0.572,0.376
49,3.91,1.46,2.48,0.302,0.17,0.0125,3.18,38.0747,3.26624,2.04524,0.959,0.262
50,6.51,6.39,1.47,2.24,7.75,0.0087,5.45,122.796,3.449,1.88312,1.11288,0.453
51,11.3,21.4,4.1,0.52,1.62,0.0147,6.29,113.1166,3.5548,2.53503,0.77977,0.24
52,8.12,9.87,3.99,0.221,0.867,0.0118,3.49,79.2042,3.73025,2.01954,1.42871,0.282
53,11.5,12.9,9.33,0.299,0.707,0.0121,3.36,98.3269,3.80527,2.02978,1.47649,0.299
54,3.99,3.57,2.1,0.092,0.328,0.0116,1.41,33.0017,3.85135,1.59635,1.35,0.905
55,7.88,3.46,2.29,0.371,0.667,0.0216,5.65,64.2417,4.06585,3.3897,0.31915,0.357
56,13,13,5.04,0.934,2.13,0.0195,6.9,119.3755,4.13954,3.68123,0.17129,0.287
57,9.05,3.36,5.08,0.487,0.497,0.0196,3.9,80.6768,4.3456,2.9416,1.005,0.399
58,21,31.2,19,0.283,0.645,0.0281,3.66,171.4136,4.55013,3.99643,0.234,0.3197
59,12.2,23.9,17.6,0.305,0.188,0.0214,4.09,132.867,4.86773,3.22129,1.46144,0.185
60,8.63,9.02,3.11,0.596,1.78,0.0181,6.09,91.7974,5.03236,3.10707,1.38026,0.545
61,4.39,4.21,1.11,0.128,0.232,0.019,3.35,32.6213,5.10443,2.68943,1.914,0.501
62,5.95,6.68,3.63,0.676,0.953,0.0101,2.91,59.5369,5.17605,1.71319,3.24836,0.2145
63,19.7,18.8,10.6,2.07,4.03,0.0208,8.59,200.5094,5.63355,4.13923,1.1923,0.302
64,7.6,2.82,3.73,0.596,0.351,0.0254,5,65.3966,5.66153,3.81053,0.725,1.126
65,18.1,32.5,9.87,0.576,2.75,0.0263,8.19,198.5225,5.81782,4.33239,1.05843,0.427
66,13.1,7.72,4.49,0.243,0.538,0.0317,6.86,89.3715,5.94828,4.88513,0.64115,0.422
67,25.2,35.2,13,1.98,1.42,0.0256,13,210.3284,6.26579,5.41694,0.71885,0.13
68,12.3,25.9,3.75,1.76,9.06,0.0166,18.9,246.6618,6.29944,4.57774,0.7647,0.957
69,32.3,43.5,31.5,0.915,1.8,0.0281,8.49,318.7461,6.49311,5.10758,1.18553,0.2
