sleep,duke_decision,gpa,homesick,home_dist_mile,home_semester,year,where_from,major,gender,cat_dog,study_abroad,shooters_times,wt_gain_fresh,go_out_times,school_work_hrs,duke_satisfaction,involvement,religion,how_religious,coll_spouse,drink_times,drink_amount,plastic_bag,meaningful_activity,feel_now,clubs,drinks_to_drunk,duke_first_choice,dance_in_shooters_cage,eat_preference,parents_total_edu,siblings,meet_friends,social_life,men_facial_hair,vacation_dest,high_school,cat_love,cofee_tea,abp_times,parent_career,student_gov_hs,coats,tenting,movie,outgoing,play_sports,on_campus_job,abroad_times,weight_ounces,countries,why_stats,sport_events,tv_hrs_basket
8,Academics (Duke ranking),3.71,No,1000,1,Senior,US - Midwest,Natural science,Male,Dogs,Yes,10,5,2,3,9,Independent,None,1,No,3,5,No,Yes,10,1,6,Yes,Yes,The Loop,10,2,"Club - other (academic, ethnic group, etc.)",Happy,In favor,Tropical,Public,1,Coffee,2,No,No,1,No,Comedy,Yes,Yes,No,3,2960,5,Have to be,5,14
7,Academics (Duke ranking),3.325,No,140,3,First-year,US - South,Natural science,Female,Cats,Yes,1,10,1,3,9,SLG,Methodist,3,Yes,1,3,Yes,No,5,0,5,Yes,No,The Loop,15,0,Parties,Somewhat happy,Against,Tropical,Public,5,Coffee,0,No,No,5,Blue,Other,No,No,No,3,2400,3,Have to be,20,2
7,Academics (Duke ranking),3.8,No,3000,1,First-year,US - West,Social science,Female,Dogs,Yes,2,5,1,6,9,Independent,Christianity,2,Yes,0,0,Yes,Yes,5,2,5,No,No,The Loop,12,1,Parties,Happy,Against,Tropical,Private,1,Tea,2,No,No,10,Blue,Comedy,Yes,Yes,Yes,5,120,5,Have to be,10,2
7,Academics (Duke ranking),3.573,No,110,1,Sophomore,US - South,Social science,Female,Dogs,No,0,0,0,4,7,SLG,Brought up Christian,2,No,0,0,No,Yes,9,0,0,No,No,The Loop,24,2,Dorm,Somewhat happy,Against,Tropical,Public,1,Coffee,6,No,No,5,No,Other,No,No,Yes,1,1680,2,Have to be,1,1
8,Academics (Duke ranking),3.8,Yes,900,2,Junior,US - South,Natural science,Female,Dogs,Yes,0,7,2,2,9,Greek,None,1,Yes,3,5,No,Yes,9,1,5,Yes,No,The Refectory,12,3,"Club - social (frats, sororities, SLGs, etc.)",Happy,In favor,Tropical,Public,2,Tea,0,No,No,3,No,Comedy,No,No,Yes,5,2000,5,Have to be,0,0
7,Academics (Duke ranking),3.7,Yes,1200,1,Junior,US - South,Natural science,Female,Cats,Yes,0,0,1,5,9,Independent,Christianity,8,No,1,1,No,Yes,7,4,3,Yes,No,The Refectory,35,1,Dorm,Happy,Against,Home,Public,3,Tea,0,No,No,3,White,Action / adventure,Yes,Yes,No,3,1968,9,Have to be,10,3
7,Academics (Duke ranking),3.844,Yes,60,1,First-year,US - South,Other,Male,Dogs,Yes,1,5,3,4,9,SLG,Non-Denominational,9,No,0,1,Yes,Yes,2,4,12,Yes,No,Au Bon Pain,12,6,Dorm,Somewhat happy,In favor,Tropical,Public,1,Tea,7,No,No,3,No,Comedy,No,No,Yes,2,165,2,Have to be,2,2
7,Academics (Duke ranking),3.675,Yes,2782,1,First-year,US - West,Natural science,Male,Dogs,No,0,0,1,5,7,Independent,Atheism,1,Yes,0,2,No,Yes,5,3,5,Yes,No,The Refectory,32,1,Dorm,Happy,Against,Tropical,Private,2,Tea,1,No,No,5,Blue,Thriller,No,No,No,9,1920,7,Want to be,3,9
7,Academics (Duke ranking),2.8,Yes,40,10,Junior,US - South,Natural science,Male,Dogs,Yes,0,-15,0,5,8,Independent,Complicated Christian,7,No,0,0,Yes,Yes,5,2,NA,Yes,No,The Loop,17,1,"Club - other (academic, ethnic group, etc.)",Somewhat happy,In favor,Home,Public,1,Tea,1,No,No,4,No,Comedy,No,Yes,Yes,2,2112,4,Want to be,0,2
7.5,Academics (Duke ranking),3.5,No,5,5,Junior,US - South,Social science,Female,Dogs,Yes,5,0,1,3,9,Independent,christianity,7,Yes,0.5,4,No,Yes,7,2,4,Yes,Yes,Au Bon Pain,40,2,"Club - social (frats, sororities, SLGs, etc.)",Somewhat happy,Against,Tropical,Public,2,Tea,7,No,No,3,White,Comedy,Yes,Yes,No,3,2192,7,Have to be,7,4
7,Academics (Duke ranking),3.65,Yes,360,1,Junior,US - South,Social science,Female,Dogs,Yes,20,10,3,3.5,9,Greek,None,2,No,2,6,Yes,Yes,4,4,5,Yes,Yes,Great Hall,17,2,"Club - social (frats, sororities, SLGs, etc.)",Happy,Against,Mountains,Private,1,Tea,3,No,Yes,7,No,Action / adventure,Yes,No,No,30,2080,15,Have to be,4,5
7,Academics (Duke ranking),3.63,Yes,1600,1,Junior,US - West,Social science,Male,Dogs,Yes,0,5,4,10,10,Greek,None,2,No,5,10,No,Yes,5,3,7,Yes,No,Armadillo Grill,10,0,"Club - social (frats, sororities, SLGs, etc.)",Happy,Against,Home,Public,1,Coffee,4,No,No,4,Blue,Comedy,Yes,Yes,Yes,3,2720,8,Have to be,5,6
6.5,School spirit,3.441,Yes,5600,1,Sophomore,US - West,Natural science,Female,Dogs,Yes,0,5,1,2.5,7,Independent,Pentacostal,5,No,0.5,3,No,Yes,5,2,5.5,Yes,No,Armadillo Grill,34,2,Class,Somewhat happy,Against,Home,Private,1,Coffee,4.5,No,No,1,Black,Action / adventure,No,No,Yes,2,3840,3,Have to be,5,5
6,Academics (Duke ranking),3.659,No,700,0,Junior,US - Midwest,Social science,Male,Cats,Yes,3,25,2,6,5,Independent,Catholic,1,No,2,11,Yes,Yes,3,3,9,No,No,Armadillo Grill,0,1,Dorm,Somewhat unhappy,In favor,Home,Public,2,Coffee,0,No,Yes,1,Blue,Comedy,Yes,Yes,Yes,5,185,16,Have to be,2,0
7,School spirit,4,No,2519,1,First-year,US - West,Social science,Female,Dogs,Yes,20,0,2,3,8,Independent,Jewish,5,No,2,4,No,Yes,6,3,3,Yes,No,Au Bon Pain,10,1,Class,Somewhat happy,NA,Mountains,Private,3,Tea,3,No,No,4,Blue,Action / adventure,No,No,No,4,1840,8,Want to be,7,2
7,Academics (Duke ranking),3.675,Yes,483,3,Sophomore,US - Northeast,Other,Female,Dogs,Yes,50,5,2,4,7,Greek,Christianity - Presbyterian ,3,Yes,2,5,No,Yes,8,2,5.5,No,No,The Refectory,34,2,"Club - social (frats, sororities, SLGs, etc.)",Somewhat happy,In favor,Tropical,Private,1,Coffee,3,No,Yes,5,No,Comedy,No,Yes,No,8,2160,10,Have to be,3,1
6,Academics (Duke ranking),3.5,Yes,1240,1,Senior,US - Midwest,Arts/humanities,Female,Dogs,Yes,4,0,1,4,10,Independent,Christianity,10,No,1,4,No,Yes,7,1,4,Yes,Yes,The Refectory,42,2,"Club - other (academic, ethnic group, etc.)",Somewhat happy,Against,Tropical,Public,1,Coffee,3,No,No,10,No,Comedy,No,Yes,No,4,1920,2,Have to be,2,5
7,Academics (Duke ranking),3.86,Yes,484,2,Sophomore,US - Northeast,Social science,Female,Dogs,No,4,14,3,5,7,Greek,none,1,No,3,6,No,Yes,4,1,4,No,Yes,Au Bon Pain,12,2,"Club - social (frats, sororities, SLGs, etc.)",Somewhat happy,Against,Home,Public,2,Coffee,1,No,No,9,No,Comedy,Yes,No,Yes,20,2288,10,Want to be,0,0.5
9,Academics (Duke ranking),3.75,Yes,275,3,Sophomore,US - Northeast,Social science,Female,Dogs,Yes,20,10,1,2,5,Greek,christian,1,No,2,8,No,Yes,3,3,7,Yes,Yes,Au Bon Pain,20,0,"Club - social (frats, sororities, SLGs, etc.)",Somewhat unhappy,Against,Urban,Private,1,Tea,6,No,No,10,No,Comedy,Yes,No,No,10,2000,10,Have to be,1,3
8,Academics (Duke ranking),3.8,No,2790,1,Sophomore,US - West,Social science,Female,Dogs,Yes,0,0,1,4,8,SLG,I identify with Islam and Christianity.,5,No,2,2,Yes,Yes,3,2,4,No,No,The Refectory,36,2,"Club - social (frats, sororities, SLGs, etc.)",Happy,Against,Home,Public,3,Coffee,4,No,No,4,No,Comedy,No,Yes,Yes,20,2448,18,Want to be,2,2
8,Academics (Duke ranking),3.842,No,2520,1,Sophomore,US - West,Natural science,Female,Cats,Yes,2,0,2,4,9,SLG,no religion,1,No,2,3,No,Yes,10,2,3,Yes,Yes,Great Hall,40,0,"Club - social (frats, sororities, SLGs, etc.)",Happy,Against,Home,NA,3,Tea,14,Yes,No,1,No,Thriller,Yes,No,No,30,1824,26,Have to be,4,3
6,Academics (Duke ranking),3.5,No,500,2,First-year,US - Northeast,Other,Male,Cats,Yes,0,5,0,2,9,Independent,Jewish,5,No,0,0,No,Yes,5,1,NA,Yes,No,Marketplace,11,2,Parties,Somewhat happy,In favor,Home,Public,5,Tea,0,No,No,4,Blue,Thriller,No,Yes,Yes,1,2560,1,Want to be,6,6
7,Duke engage/abroad,3.8,No,490,1.5,Sophomore,US - Northeast,Social science,Female,Dogs,Yes,3,0,1,7,10,Independent,Catholic,7,No,0,0,Yes,Yes,8,2,3,No,Yes,The Refectory,12,3,"Club - other (academic, ethnic group, etc.)",Happy,Against,Tropical,Public,1,Tea,5,No,No,5,No,Comedy,Yes,No,No,2,1920,2,Have to be,0,0
8,Academics (Duke ranking),3.97,Yes,10,5,First-year,US - South,Natural science,Female,Cats,Yes,20,0,3,5,8,Greek,Christianity,6,Yes,3,4,No,Yes,7,3,4,Yes,No,The Loop,50,1,Dorm,Happy,In favor,Home,Private,4,NA,3,No,Yes,10,Blue,Action / adventure,Yes,No,No,10,1760,9,Want to be,3,2
7,Duke engage/abroad,3.1,Yes,1000,1,Junior,US - South,Natural science,Female,Dogs,Yes,0,0,2,3,4,Greek,Catholic,6,Yes,2,5,No,No,4,3,3,No,Yes,The Refectory,10,2,Class,Somewhat unhappy,Against,Home,Private,1,Tea,7,No,No,5,White,Comedy,No,No,Yes,5,1664,14,Have to be,0,4
5,Academics (Duke ranking),3.7,Yes,504,2,Sophomore,US - Northeast,Natural science,Female,Dogs,No,0,5,0,4,6,Independent,None,0,No,0,0,Yes,Yes,5,4,2,Yes,No,The Refectory,40,1,Class,Neutral,In favor,Mountains,Public,4,Tea,4,No,No,3,Blue,Other,No,No,Yes,5,1920,1,Have to be,3,1
8,Academics (Duke ranking),3.7,No,8,8,Sophomore,US - South,Other,Male,Dogs,Yes,1,5,1,6,8,SLG,Christian,9,No,0,0,Yes,Yes,7,4,NA,Yes,No,Armadillo Grill,16,1,"Club - social (frats, sororities, SLGs, etc.)",Somewhat happy,In favor,Mountains,Public,1,Coffee,4,No,Yes,2,No,Other,No,Yes,No,5,2560,5,Want to be,10,2
7,Academics (Duke ranking),4,Yes,450,1,First-year,US - Northeast,Arts/humanities,Male,Cats,No,0,0,2,3,10,SLG,Judaism,3,No,2,4,Yes,Yes,7,3,3,Yes,No,Au Bon Pain,13,2,"Club - other (academic, ethnic group, etc.)",Happy,In favor,Tropical,Public,5,Tea,4,No,Yes,3,No,Comedy,Yes,Yes,No,5,2528,10,Have to be,4,1
8,Academics (Duke ranking),3.4,No,800,1,Junior,US - Midwest,Social science,Female,Dogs,Yes,0,10,4,3,8,Independent,christian,4,Yes,1.5,5,No,Yes,6,1,5,Yes,Yes,The Refectory,34,2,"Club - other (academic, ethnic group, etc.)",Somewhat happy,Against,Tropical,Public,1,Tea,2,No,No,2,No,Comedy,NA,Yes,Yes,15,175,15,Have to be,0,1
6,Academics (Duke ranking),3.925,NA,50,2.5,First-year,US - South,Social science,Female,Cats,Yes,12,0,2,5,10,Greek,Methodist,4,Yes,0.5,2,No,Yes,4,3,1,Yes,No,Au Bon Pain,10,1,Dorm,Happy,Against,Tropical,Public,5,Tea,1,No,Yes,3,Black,Comedy,No,Yes,Yes,3,2080,3,Have to be,20,4
7,Academics (Duke ranking),3.925,Yes,10,2,First-year,US - South,Natural science,Male,Dogs,Yes,0,15,0,6,8,Independent,None,1,No,0,0,Yes,Yes,8,3,8,No,No,Au Bon Pain,55,0,Dorm,Neutral,In favor,Tropical,Public,1,Coffee,0,No,No,6,Blue,Action / adventure,Yes,No,No,1,2720,6,Want to be,6,4
8.5,Academics (Duke ranking),3.82,Yes,200,3,Sophomore,US - South,Arts/humanities,Female,Dogs,Yes,0,20,1,5,8,Greek,"exploring, but possibly buddhism",6,Yes,0,0,No,Yes,8,3,4,No,No,Great Hall,8,1,Class,Happy,Against,Home,Public,3,Tea,7,No,No,7,White,Other,Yes,Yes,Yes,4,1700,7,Have to be,3,2
7,School spirit,3.15,Yes,157,3,Junior,US - South,Social science,Female,Dogs,No,10,0,2,6,8,Independent,Christian,6,Yes,0,0,Yes,Yes,9,0,2,Yes,No,The Refectory,6,0,"Club - social (frats, sororities, SLGs, etc.)",Somewhat happy,In favor,Tropical,Public,1,Tea,5,No,Yes,4,No,Other,Yes,Yes,No,2,2000,2,Want to be,21,2
7,Duke engage/abroad,3.3,No,2500,2,First-year,US - West,Social science,Female,Cats,Yes,7,0,2,3,10,Independent,none but I believe in God. ,7,No,2,5,No,Yes,8,4,5,Yes,Yes,Great Hall,34,3,Dorm,Happy,Against,Home,Public,5,Tea,1,No,No,2,Blue,Comedy,Yes,No,Yes,NA,NA,10,Have to be,5,4
7,Academics (Duke ranking),3.64,Yes,400,2,Junior,US - Northeast,Natural science,Female,Dogs,No,0,0,1,4,6,Independent,independant,3,No,1,4,No,Yes,5,3,3,Yes,No,Au Bon Pain,37,1,Dorm,Neutral,Against,Tropical,Private,2,Tea,7,No,No,5,No,Comedy,No,Yes,Yes,5,1830,5,Have to be,5,1
8,Academics (Duke ranking),3.8,Yes,600,2,First-year,US - South,Natural science,Male,Dogs,Yes,0,0,0,5,8,Independent,christianity,9,No,0,0,No,Yes,7,1,0,Yes,No,Marketplace,16,1,"Club - other (academic, ethnic group, etc.)",Happy,In favor,Home,Public,1,Tea,5,No,No,5,Black,Action / adventure,Yes,Yes,No,3,2480,4,Have to be,8,0
7,Academics (Duke ranking),3.58,No,490,2,Sophomore,US - Midwest,Social science,Female,Dogs,Yes,5,0,2,4,8,Greek,Christianity,4,No,2,6,No,Yes,7,4,4,Yes,Yes,Au Bon Pain,38,2,"Club - social (frats, sororities, SLGs, etc.)",Happy,Against,Tropical,Private,1,Tea,3,No,Yes,2,White,Comedy,Yes,Yes,Yes,40,2160,35,Have to be,10,0
7,Academics (Duke ranking),3.5,No,500,1,Junior,US - Northeast,Social science,Male,Dogs,Yes,0,5,3,3,6.5,Greek,Jewish,6,No,4,5,No,Yes,7,8,6,Yes,No,Au Bon Pain,40,2,"Club - social (frats, sororities, SLGs, etc.)",Somewhat happy,In favor,Tropical,Public,1,Coffee,7,No,No,2,No,Comedy,Yes,Yes,No,10,2480,12,Have to be,1,2
8,Academics (Duke ranking),3.5,No,25,3,Junior,US - South,Natural science,Female,Dogs,No,2,0,1,4,8,Independent,catholic,5,No,1,5,No,NA,7,2,6,Yes,Yes,Au Bon Pain,35,1,Dorm,Neutral,Against,Tropical,Private,1,Coffee,6,No,No,3,White,Comedy,No,Yes,No,10,2560,15,Have to be,10,4
7,Academics (Duke ranking),3.925,Yes,484,2,First-year,US - Northeast,Natural science,Male,Dogs,No,10,10,5,2,8,Greek,None,2,No,3,5,No,Yes,5,2,5.5,Yes,Yes,Marketplace,40,1,Parties,Happy,NA,Tropical,Public,3,Coffee,0,No,No,2,No,Comedy,Yes,No,No,20,2720,10,Want to be,4,8
7,Academics (Duke ranking),3.52,Yes,535,3,First-year,US - Northeast,Social science,Female,Dogs,NA,15,0,3,4,7,Greek,christianity,2,Yes,3,4,No,No,6,1,5,Yes,Yes,The Loop,8,2,Parties,Happy,Against,Tropical,Public,1,Coffee,0,Yes,Yes,5,No,Comedy,Yes,Yes,No,20,1840,13,Have to be,5,2
7,Academics (Duke ranking),3.46,No,2776,1,Sophomore,US - West,Social science,Female,Cats,No,0,0,1,4,5,SLG,Catholicism,1,Yes,1,1,No,Yes,5,2,1,Yes,No,The Loop,8,1,Class,Neutral,Against,Home,Public,3,Tea,1,No,No,10,No,Comedy,No,No,Yes,0,1600,1,Have to be,0,0
8,Academics (Duke ranking),3.7,Yes,258,2,First-year,US - South,Social science,Female,Dogs,Yes,15,0,3,4,7,Greek,catholic,5,Yes,2,3,Yes,Yes,4,2,4,Yes,Yes,Au Bon Pain,12,1,Parties,Somewhat happy,Against,Tropical,Public,1,Tea,1,No,No,4,White,Comedy,Yes,Yes,No,4,1952,4,Have to be,6,2
6,School spirit,3.2,Yes,3000,1,Sophomore,International,Social science,Female,Dogs,Yes,8,0,2,4,7,Greek,Catholic,3,Yes,2,4,No,Yes,5,3,7,No,Yes,Au Bon Pain,32,2,"Club - social (frats, sororities, SLGs, etc.)",Somewhat happy,Against,Tropical,Private,1,Tea,4,No,No,7,Blue,Comedy,No,Yes,Yes,20,1920,24,Want to be,10,3
7,Academics (Duke ranking),3.4,Yes,2500,1,First-year,US - West,Natural science,Male,Dogs,Yes,4,0,1,6,8,Independent,none,1,Yes,1,6,Yes,Yes,4,1,2,Yes,No,Au Bon Pain,4,0,Dorm,Somewhat happy,In favor,Tropical,Public,1,Coffee,3,No,No,2,Blue,Thriller,No,Yes,Yes,2,2240,1,Have to be,5,2
7,Academics (Duke ranking),3.93,Yes,600,2,Sophomore,US - Northeast,Natural science,Female,Dogs,Yes,3,5,2,4,7,Greek,Roman Catholicism,5,No,3,3,Yes,Yes,6,3,7,Yes,No,Great Hall,16,1,Dorm,Neutral,Against,Home,Private,1,Tea,3,No,No,5,No,Comedy,Yes,Yes,Yes,3,123,2,Have to be,3,3
6,Academics (Duke ranking),3.5,Yes,1600,1,Junior,US - South,Social science,Female,Dogs,Yes,20,2,2,4,10,Greek,Catholic,6,No,2,4,No,Yes,7,3,5,Yes,Yes,Au Bon Pain,10,1,"Club - social (frats, sororities, SLGs, etc.)",Happy,Against,Urban,Private,1,Tea,2,No,Yes,6,No,Other,Yes,Yes,No,30,1808,30,Have to be,0,3
5,Academics (Duke ranking),3.9,No,520,1,Sophomore,US - Northeast,Natural science,Male,Dogs,No,5,5,2,3,8,Greek,Judaism.,4,No,3,6,No,Yes,8,1,6,Yes,No,The Loop,40,1,"Club - social (frats, sororities, SLGs, etc.)",Happy,In favor,Home,Public,1,Coffee,4,No,No,2,Blue,Comedy,Yes,Yes,No,5,2464,8,Have to be,8,10
8,Sports,3.8,Yes,2500,1,Sophomore,US - West,Social science,Female,Dogs,No,6,0,1,3,9,Greek,Catholicism ,7,No,1,4,No,Yes,8,0,3,Yes,No,The Refectory,20,3,"Club - social (frats, sororities, SLGs, etc.)",Happy,In favor,Tropical,Private,3,Tea,1,No,No,4,No,Action / adventure,Yes,Yes,No,4,1840,6,Have to be,50,2
7,Academics (Duke ranking),3.5,No,526,3,Sophomore,US - Northeast,Social science,Female,Dogs,No,10,10,2,3,10,Independent,Greek Orthodoxy ,3,Yes,2,4,No,Yes,7,3,5,No,No,Au Bon Pain,32,1,"Club - social (frats, sororities, SLGs, etc.)",Happy,In favor,Tropical,Private,1,Coffee,8,No,No,NA,No,Comedy,Yes,No,No,20,2160,12,Have to be,3,5
6,Academics (Duke ranking),3.925,No,525,1,First-year,US - Northeast,Social science,Female,Cats,Yes,3,8,1,3,8,Independent,None,3,Yes,1,5,No,Yes,5,3,4,No,No,The Refectory,10,2,Dorm,Somewhat happy,In favor,Home,Public,3,Coffee,1,No,No,2,No,Other,Yes,No,Yes,2,2160,2,Want to be,3,0
7,Academics (Duke ranking),3.585,No,1000,2,Sophomore,US - Midwest,Arts/humanities,Female,Dogs,Yes,0,10,0,5,8,Independent,None/Atheist,1,Yes,0,0,Yes,Yes,7,3,NA,No,No,The Refectory,40,1,"Club - other (academic, ethnic group, etc.)",Somewhat happy,Against,Urban,Public,2,Tea,3,No,No,4,Black,Action / adventure,Yes,No,No,20,1760,15,Have to be,0,7
7,School spirit,3.1,No,2804,1,First-year,US - West,Social science,Male,Dogs,Yes,15,0,2,4,10,Independent,Catholic,6,Yes,2,7,No,Yes,6,2,5,Yes,Yes,The Loop,34,1,Dorm,Happy,Against,Tropical,Private,1,Tea,2,No,No,7,No,Horror,Yes,Yes,No,0,2320,1,Have to be,13,1
7,School spirit,3.644,Yes,819,2,First-year,US - South,Other,NA,Dogs,Yes,20,0,2,5,8,Greek,Judaism,4,No,0,0,No,Yes,5,2,4,Yes,No,The Refectory,9,2,Parties,Happy,Against,Home,Private,1,Coffee,3,No,No,3,No,Other,Yes,No,No,6,124,10,Want to be,3,0
6,Academics (Duke ranking),3.891,No,1000,2.5,Sophomore,US - South,Arts/humanities,Female,Cats,Yes,1,0,1,5,7,Independent,Christianity,7,No,0,0,No,Yes,7,3,NA,No,No,Au Bon Pain,40,2,"Club - other (academic, ethnic group, etc.)",Neutral,Against,Home,Public,1,Tea,3,No,No,3,No,Other,Yes,No,Yes,0,3200,0,Have to be,0,0
6,School spirit,3.1,No,850,2,Junior,US - Midwest,Social science,Female,Dogs,No,2,0,2,5,8,Greek,Christian,3,No,1,3,No,Yes,7,4,4,Yes,Yes,Au Bon Pain,20,2,Dorm,Somewhat happy,Against,Home,Private,2,Coffee,5,No,Yes,3,No,Comedy,Yes,Yes,Yes,22,2080,2,Have to be,10,5
7,School spirit,3.4,No,2652.4,1,First-year,US - West,Social science,Female,Dogs,Yes,10,5,2,4,8,Greek,none,1,No,2,4,No,Yes,7,1,6,No,Yes,The Refectory,37,1,Dorm,Happy,Against,Tropical,Public,1,Tea,2,No,Yes,15,Black,Other,Yes,Yes,No,8,2160,4,Have to be,7,4
8,Academics (Duke ranking),3.55,Yes,488,2,Sophomore,US - Northeast,Social science,Female,Dogs,Yes,10,2,2,6,7.5,Greek,None,1,Yes,2,2.5,No,Yes,8,2,5,Yes,No,The Loop,40,1,"Club - social (frats, sororities, SLGs, etc.)",Happy,Against,Tropical,Private,1,Coffee,5,No,Yes,4,No,Comedy,Yes,No,Yes,8,1920,14,Have to be,6,3
7,Academics (Duke ranking),3.5,No,6749,2,Sophomore,International,Social science,Female,Dogs,No,2,7,1,3,10,SLG,Muslim,8,No,0,0,Yes,Yes,5,4,NA,No,Yes,The Loop,12,3,"Club - social (frats, sororities, SLGs, etc.)",Happy,Against,Home,Public,1,Tea,10,No,Yes,2,No,Other,Yes,Yes,No,12,1700,9,Have to be,15,1
7,Academics (Duke ranking),3.35,Yes,259,NA,Sophomore,US - Northeast,Social science,Male,Dogs,Yes,10,5,1.5,4,7,Independent,Christian-Catholic,8,No,1.5,3,No,Yes,5,3,4,Yes,No,The Loop,12,3,Dorm,Somewhat happy,In favor,Urban,Public,1,Tea,3,No,Yes,3,No,Comedy,Yes,Yes,Yes,2,2720,3,Have to be,25,5
7,Academics (Duke ranking),3.97,Yes,2150,0.5,Sophomore,US - West,Social science,Female,Dogs,Yes,0,0,2.5,2,8,Greek,United Methodist,7,No,3,9,Yes,Yes,6,2,7.5,Yes,Yes,Au Bon Pain,8,2,"Club - other (academic, ethnic group, etc.)",Happy,Against,Mountains,Private,1,Coffee,4,No,No,2,No,Comedy,Yes,No,Yes,5,2160,6,Have to be,0,2
