"Id","Gender","Race","Earnings","Status"
160,"M","Black",18014,"FT"
161,"F","Black",18418,"PT"
162,"F","Black",16296,"PT"
163,"F","Black",15941,"PT"
164,"F","Black",15970,"PT"
165,"F","Black",15950,"PT"
166,"F","Black",18423,"FT"
167,"F","Black",19622,"FT"
168,"M","Black",17840,"FT"
169,"F","Black",15979,"FT"
170,"F","Black",15914,"FT"
171,"F","Black",15899,"FT"
172,"F","Black",17121,"FT"
173,"F","Black",17140,"PT"
174,"F","Black",16782,"PT"
175,"F","Black",15927,"PT"
176,"F","Black",17141,"FT"
177,"M","Black",18345,"FT"
178,"F","Black",18354,"FT"
179,"F","Black",15971,"PT"
180,"F","Black",17200,"FT"
181,"F","Black",17154,"FT"
182,"F","Black",17513,"FT"
183,"F","Black",15961,"FT"
184,"F","Black",15972,"FT"
185,"M","Black",16543,"FT"
186,"F","Black",17146,"FT"
187,"M","Black",17755,"FT"
188,"F","Black",16574,"FT"
189,"F","Black",15334,"PT"
190,"F","Black",15920,"FT"
191,"M","Black",17141,"FT"
192,"F","Black",17165,"PT"
193,"F","Black",17123,"FT"
194,"F","Black",17147,"FT"
195,"F","Black",17198,"PT"
196,"M","Black",17197,"FT"
197,"M","Black",17123,"FT"
198,"F","Black",17799,"FT"
199,"F","Other",17175,"FT"
200,"F","Black",17190,"FT"
201,"F","Black",17813,"FT"
202,"M","Black",17787,"FT"
203,"M","Black",18365,"FT"
204,"F","Other",15907,"PT"
205,"M","Black",15941,"PT"
206,"F","Black",15945,"PT"
207,"F","Other",17192,"FT"
208,"M","Black",17158,"FT"
209,"F","Black",17131,"PT"
210,"F","Black",17733,"FT"
211,"F","Black",15976,"FT"
212,"F","Black",17156,"FT"
213,"F","Black",17164,"FT"
214,"F","Black",15906,"FT"
215,"F","Black",17145,"FT"
216,"F","Black",17119,"PT"
217,"F","Black",17200,"FT"
218,"M","Black",17133,"PT"
219,"F","Black",15970,"PT"
220,"F","Black",16537,"FT"
221,"F","Black",17142,"PT"
222,"F","Black",17192,"FT"
223,"F","Black",17148,"FT"
224,"F","Black",18387,"FT"
225,"F","Black",20864,"FT"
226,"F","Black",17147,"FT"
227,"F","Black",17162,"FT"
228,"F","Black",17133,"PT"
229,"F","Black",17178,"PT"
230,"F","Black",17196,"FT"
231,"F","Black",17134,"PT"
232,"F","Black",15924,"PT"
233,"F","Black",17143,"FT"
234,"M","Black",18379,"FT"
235,"F","Black",16521,"PT"
236,"F","Black",17161,"FT"
237,"M","White",14682,"PT"
238,"F","White",16924,"PT"
239,"F","White",16875,"PT"
240,"F","White",12679,"PT"
241,"F","White",17168,"PT"
242,"M","White",12605,"FT"
243,"F","White",17994,"FT"
244,"F","White",17081,"FT"
245,"F","White",18951,"FT"
246,"M","White",17856,"FT"
247,"F","White",15890,"FT"
248,"F","White",16289,"PT"
249,"F","White",16305,"FT"
250,"M","White",14686,"PT"
251,"F","White",16531,"FT"
252,"F","White",16066,"PT"
253,"F","White",16593,"PT"
254,"F","White",18170,"FT"
255,"F","White",16909,"PT"
256,"F","White",15619,"FT"
257,"F","White",16911,"PT"
258,"F","White",16500,"FT"
259,"F","White",17688,"FT"
260,"F","White",16247,"PT"
261,"F","White",16569,"FT"
262,"F","White",16538,"FT"
263,"F","White",17153,"FT"
264,"F","White",15939,"FT"
265,"F","White",18422,"FT"
266,"F","White",17864,"FT"
267,"F","White",20823,"FT"
268,"F","White",17170,"FT"
269,"F","White",17154,"FT"
270,"M","White",19594,"FT"
271,"F","White",17200,"FT"
272,"F","White",17173,"FT"
273,"F","White",15932,"FT"
274,"F","White",17260,"FT"
275,"F","White",19311,"FT"
276,"F","White",17180,"FT"
277,"F","White",15936,"PT"
278,"M","White",16411,"FT"
279,"F","White",16796,"FT"
280,"M","White",15919,"FT"
281,"F","White",16771,"PT"
282,"F","White",15942,"PT"
283,"F","White",15909,"FT"
284,"F","White",17119,"FT"
285,"M","White",17423,"PT"
286,"F","White",16762,"PT"
287,"M","White",16578,"FT"
288,"F","White",17146,"FT"
289,"M","White",15923,"FT"
290,"F","White",16765,"FT"
291,"F","White",15413,"FT"
292,"F","White",17128,"FT"
293,"M","White",17179,"FT"
294,"F","White",16454,"PT"
295,"M","White",18343,"FT"
296,"F","White",17157,"FT"
297,"F","White",15980,"PT"
298,"F","White",15966,"PT"
299,"M","White",15940,"PT"
300,"F","White",17753,"FT"
301,"F","White",17849,"FT"
302,"M","White",15917,"FT"
303,"F","White",16929,"FT"
304,"F","White",17128,"FT"
305,"F","White",15970,"FT"
306,"F","White",17179,"FT"
307,"F","White",15964,"FT"
308,"F","White",17194,"FT"
309,"F","White",17743,"FT"
310,"F","White",15367,"PT"
311,"F","White",20811,"FT"
312,"M","White",17162,"FT"
313,"M","White",17184,"PT"
314,"F","White",15966,"PT"
315,"F","White",17132,"FT"
316,"M","White",16514,"FT"
317,"F","White",15979,"FT"
318,"F","White",17163,"FT"
319,"F","White",17793,"FT"
320,"F","White",17188,"PT"
321,"M","White",17142,"FT"
322,"F","White",17149,"FT"
323,"F","White",17168,"PT"
324,"M","White",18342,"FT"
325,"F","White",18419,"FT"
326,"F","White",17123,"FT"
327,"M","White",15930,"PT"
328,"F","White",15929,"PT"
329,"F","White",17192,"FT"
330,"M","White",19588,"FT"
331,"M","White",17160,"PT"
332,"F","White",17166,"FT"
333,"F","White",17124,"PT"
334,"F","White",18388,"FT"
335,"F","White",17177,"FT"
336,"M","White",17198,"FT"
337,"F","White",17146,"FT"
338,"F","White",15976,"PT"
339,"M","White",17196,"FT"
340,"M","White",17134,"FT"
341,"M","White",17158,"PT"
342,"F","Black",18368,"FT"
343,"F","Black",17162,"PT"
344,"F","Black",16751,"FT"
345,"F","Black",18367,"FT"
346,"F","Black",18354,"FT"
347,"M","Black",14731,"FT"
348,"F","Black",14742,"FT"
349,"F","Black",19027,"FT"
350,"M","Black",18351,"FT"
351,"F","Black",15362,"FT"
352,"F","Black",15293,"FT"
353,"F","Black",15335,"FT"
354,"M","Black",17127,"FT"
355,"F","Black",15344,"FT"
356,"M","Black",16576,"FT"
357,"F","Black",16537,"FT"
358,"F","Black",18351,"FT"
359,"M","Black",16560,"PT"
360,"F","Black",18374,"FT"
361,"F","Black",14702,"PT"
362,"F","Black",15352,"FT"
363,"M","Black",16531,"FT"
364,"M","Black",17134,"FT"
365,"F","Black",18399,"FT"
366,"F","Black",17191,"FT"
367,"F","Black",15951,"PT"
368,"F","Black",17160,"PT"
369,"F","Black",17204,"FT"
370,"F","Black",15319,"FT"
371,"F","Black",17148,"FT"
373,"F","White",15066,"FT"
374,"M","White",15100,"FT"
375,"F","White",20758,"FT"
376,"M","White",17186,"PT"
377,"F","White",17148,"PT"
378,"M","White",15934,"FT"
379,"F","White",15904,"FT"
380,"F","White",17191,"FT"
381,"M","White",17150,"FT"
382,"F","White",17143,"FT"
383,"F","White",15341,"FT"
384,"F","White",17145,"PT"
385,"F","White",17191,"FT"
386,"M","White",17181,"PT"
387,"F","White",15291,"FT"
388,"F","White",15912,"PT"
389,"F","White",17145,"FT"
390,"M","White",17127,"PT"
391,"F","White",17129,"FT"
392,"F","Black",13474,"PT"
393,"F","Black",19633,"PT"
394,"F","Other",20254,"PT"
395,"M","Black",20206,"PT"
396,"F","White",22017,"PT"
397,"F","White",20243,"PT"
398,"F","White",19643,"PT"
399,"M","White",19597,"PT"
400,"M","Black",19902,"FT"
401,"F","Black",20564,"FT"
402,"F","Other",18884,"FT"
403,"F","Black",18275,"FT"
404,"F","Black",17237,"FT"
405,"F","Black",18011,"FT"
406,"F","Black",16289,"PT"
407,"F","Black",17750,"PT"
408,"M","Black",18057,"PT"
409,"F","Black",18678,"FT"
410,"M","Black",18521,"FT"
411,"M","Black",16902,"FT"
412,"F","Black",18349,"PT"
413,"F","Black",17171,"FT"
414,"F","Black",19411,"PT"
415,"F","Black",18176,"FT"
416,"F","Black",16775,"PT"
417,"F","Black",18592,"PT"
418,"F","Black",19299,"FT"
419,"F","Black",16269,"FT"
420,"F","Black",18304,"FT"
421,"F","Black",17546,"FT"
422,"F","Black",17555,"FT"
423,"F","Black",16689,"FT"
424,"F","Black",18435,"PT"
425,"F","Black",19807,"FT"
426,"F","Black",18245,"FT"
427,"F","Black",19252,"PT"
428,"F","Black",17892,"PT"
429,"F","Black",17274,"FT"
430,"F","Black",17146,"PT"
431,"M","Black",17646,"FT"
432,"F","Black",19254,"PT"
433,"F","Other",20046,"FT"
434,"F","Black",17232,"PT"
435,"F","Black",16864,"PT"
436,"F","Black",17931,"FT"
437,"F","Black",18044,"PT"
438,"F","Black",16885,"FT"
439,"F","Black",17554,"FT"
440,"F","Black",18569,"FT"
441,"F","Black",16877,"PT"
442,"F","Black",17756,"FT"
443,"F","Black",16547,"FT"
444,"F","Black",16832,"FT"
445,"F","Black",17643,"FT"
446,"F","Black",16265,"FT"
447,"F","Black",16126,"FT"
448,"M","Black",15827,"FT"
449,"F","Black",16486,"PT"
450,"F","Black",16904,"FT"
451,"F","Black",18145,"PT"
452,"F","Black",16206,"PT"
453,"M","Black",17133,"FT"
454,"M","Black",17147,"FT"
455,"F","Black",17518,"FT"
456,"F","Black",17857,"FT"
457,"F","Black",18409,"FT"
458,"F","Black",18178,"FT"
459,"F","Black",17466,"FT"
460,"F","Black",17133,"FT"
461,"F","Black",17522,"FT"
462,"F","Black",17534,"FT"
463,"F","Black",17191,"FT"
464,"F","Black",17472,"FT"
465,"F","Black",19120,"FT"
466,"F","Black",17792,"PT"
467,"F","Black",17597,"FT"
468,"F","Black",17789,"PT"
469,"F","Black",17527,"PT"
470,"F","Black",17211,"FT"
471,"F","Black",17767,"PT"
472,"F","Black",16203,"FT"
473,"F","Black",19282,"FT"
474,"F","Black",16522,"FT"
475,"F","Black",16254,"PT"
476,"M","Black",17867,"FT"
477,"F","Black",18069,"FT"
478,"F","Black",18739,"FT"
479,"F","Black",17933,"PT"
480,"F","Black",18783,"FT"
481,"F","Black",17764,"FT"
482,"M","Black",18959,"FT"
483,"F","Black",18371,"FT"
484,"M","Black",16853,"FT"
485,"F","Black",17256,"FT"
486,"F","Black",18144,"FT"
487,"F","Black",19157,"FT"
488,"F","Other",18268,"FT"
489,"F","Black",18206,"FT"
490,"M","Black",18578,"PT"
491,"F","Black",18035,"FT"
492,"F","Black",18030,"FT"
493,"F","Black",17898,"FT"
494,"F","Black",18359,"FT"
495,"M","Black",18906,"FT"
496,"F","Black",19090,"FT"
497,"F","Black",18765,"FT"
498,"F","Black",16579,"FT"
499,"M","Black",16890,"FT"
500,"F","Black",18400,"FT"
501,"F","Black",18375,"FT"
502,"M","Black",17573,"FT"
503,"F","Black",17200,"FT"
504,"M","Black",17556,"FT"
505,"M","Black",17189,"FT"
506,"F","Black",17152,"FT"
507,"F","Black",18348,"FT"
508,"F","Black",19310,"FT"
509,"F","Black",17132,"FT"
510,"F","Black",18359,"FT"
511,"M","Other",17165,"FT"
512,"F","Black",17196,"FT"
513,"M","Black",17812,"FT"
514,"F","White",20612,"FT"
515,"F","White",20802,"FT"
516,"M","White",17184,"FT"
517,"F","White",20007,"FT"
518,"F","White",19109,"FT"
519,"M","White",17795,"FT"
520,"F","White",20224,"FT"
521,"F","White",18863,"FT"
522,"F","White",17561,"PT"
523,"F","White",18745,"FT"
524,"F","White",18171,"FT"
525,"F","White",18757,"FT"
526,"M","White",16680,"FT"
527,"F","White",19543,"PT"
528,"F","White",18759,"FT"
529,"F","White",16810,"FT"
530,"F","White",17180,"FT"
531,"F","White",17157,"FT"
532,"F","White",15929,"FT"
533,"F","White",18072,"FT"
534,"F","White",18384,"FT"
535,"F","White",19693,"FT"
536,"F","White",17726,"FT"
537,"F","White",17441,"FT"
538,"F","White",17400,"PT"
539,"F","White",17683,"FT"
540,"F","White",17233,"FT"
541,"F","White",19308,"FT"
542,"F","White",17960,"FT"
543,"F","White",17223,"FT"
544,"M","White",18101,"FT"
545,"F","White",18398,"FT"
546,"M","White",17464,"FT"
547,"M","White",17734,"FT"
548,"F","White",19459,"PT"
549,"F","White",18267,"PT"
550,"F","White",18390,"FT"
551,"M","White",16232,"FT"
552,"F","White",18004,"FT"
553,"F","White",18387,"FT"
554,"M","White",16886,"FT"
555,"F","White",17540,"FT"
556,"F","White",17818,"FT"
557,"F","White",19078,"FT"
558,"F","White",18124,"FT"
559,"F","White",17737,"FT"
560,"M","White",18228,"FT"
561,"F","White",17220,"FT"
562,"M","White",19276,"FT"
563,"F","White",17887,"FT"
564,"F","White",18548,"FT"
565,"F","White",17571,"FT"
566,"F","White",18581,"FT"
567,"F","White",17370,"FT"
568,"F","White",17162,"FT"
569,"F","White",16560,"FT"
570,"M","White",17805,"FT"
571,"F","White",19315,"FT"
572,"F","White",17583,"FT"
573,"F","White",19102,"FT"
574,"F","White",17776,"FT"
575,"M","White",18127,"PT"
576,"F","White",19504,"FT"
577,"F","White",18550,"FT"
578,"F","White",16288,"FT"
579,"F","White",18267,"FT"
580,"F","White",18537,"FT"
581,"F","White",20570,"FT"
582,"F","White",18188,"FT"
583,"F","White",17765,"FT"
584,"F","White",18189,"PT"
585,"F","White",17326,"FT"
586,"F","White",17447,"PT"
587,"F","White",17510,"FT"
588,"F","White",17877,"PT"
589,"F","White",17442,"FT"
590,"M","White",17604,"FT"
591,"F","White",19110,"FT"
592,"F","White",16562,"FT"
593,"M","White",16576,"FT"
594,"F","White",18435,"FT"
595,"F","White",18615,"FT"
596,"F","White",17602,"FT"
597,"F","White",17923,"FT"
598,"F","White",18421,"FT"
599,"F","White",17719,"FT"
600,"F","White",16157,"FT"
601,"F","White",16259,"FT"
602,"F","White",17715,"PT"
603,"F","White",17866,"FT"
604,"M","White",18400,"FT"
605,"F","White",18273,"FT"
606,"F","White",19691,"FT"
607,"F","White",17555,"FT"
608,"M","White",17789,"FT"
609,"F","White",19469,"FT"
610,"F","White",20746,"FT"
611,"M","White",16817,"FT"
612,"M","White",18292,"FT"
613,"F","White",17576,"FT"
614,"F","White",19615,"FT"
615,"F","White",18197,"FT"
616,"F","White",19092,"FT"
617,"F","White",20829,"FT"
618,"F","White",17550,"FT"
619,"M","White",17852,"FT"
620,"F","White",17738,"FT"
621,"F","White",17845,"FT"
622,"F","White",17127,"FT"
623,"M","White",18870,"FT"
624,"F","White",17836,"FT"
625,"F","White",18553,"FT"
626,"F","White",17692,"FT"
627,"F","White",18414,"FT"
628,"F","White",17238,"FT"
629,"M","White",19007,"FT"
630,"F","White",17540,"FT"
631,"F","White",18193,"FT"
632,"M","White",18153,"PT"
633,"F","White",19326,"PT"
634,"F","White",17542,"FT"
635,"M","White",18245,"FT"
636,"M","White",17548,"PT"
637,"F","White",18197,"FT"
638,"M","White",17816,"PT"
639,"F","White",18351,"FT"
640,"F","White",18492,"FT"
641,"F","White",17977,"FT"
642,"F","White",17834,"FT"
643,"F","White",18512,"FT"
644,"M","White",18335,"FT"
645,"F","White",18994,"FT"
646,"F","White",17676,"FT"
647,"F","White",15921,"FT"
648,"F","White",18412,"FT"
649,"M","White",19007,"FT"
650,"F","Black",18364,"PT"
651,"F","Black",18357,"FT"
652,"F","Black",19312,"FT"
653,"F","Black",19629,"PT"
654,"F","Other",19009,"FT"
655,"F","Black",17749,"FT"
656,"M","Black",19059,"FT"
657,"F","Other",19621,"PT"
658,"F","Black",17157,"FT"
659,"F","Black",16428,"PT"
660,"F","Black",21480,"FT"
661,"F","Other",18108,"FT"
662,"F","Black",18407,"PT"
663,"F","Black",18267,"FT"
664,"F","Other",17403,"PT"
665,"F","Black",20217,"PT"
666,"F","Black",18045,"PT"
667,"F","Other",18410,"FT"
668,"F","Black",20233,"FT"
669,"F","Black",19612,"FT"
670,"F","Black",19617,"FT"
671,"F","Black",18362,"FT"
672,"F","Other",17131,"PT"
673,"F","Black",17163,"PT"
674,"F","Black",19614,"PT"
675,"F","Black",17302,"FT"
676,"F","Other",17181,"PT"
677,"F","White",23599,"PT"
678,"F","White",22248,"PT"
679,"F","White",24465,"FT"
680,"F","White",21603,"PT"
681,"F","White",20164,"PT"
682,"F","White",18696,"FT"
683,"F","White",20645,"PT"
684,"F","White",18339,"FT"
685,"F","White",18698,"PT"
686,"F","White",16268,"PT"
687,"F","White",18417,"PT"
688,"F","White",17802,"PT"
689,"F","White",16942,"FT"
690,"F","White",18989,"FT"
691,"F","White",20078,"PT"
692,"F","White",18660,"PT"
693,"F","White",20305,"FT"
694,"F","White",18916,"FT"
695,"F","White",18909,"PT"
696,"F","White",18350,"PT"
697,"F","White",17707,"PT"
698,"F","White",18908,"FT"
699,"F","White",19596,"PT"
700,"M","White",18787,"FT"
701,"F","White",18420,"PT"
702,"F","White",19615,"FT"
703,"F","White",18424,"FT"
704,"F","White",19628,"PT"
705,"F","White",17687,"FT"
706,"F","White",19278,"FT"
707,"F","White",18906,"PT"
708,"F","White",17282,"PT"
709,"F","White",17563,"PT"
710,"F","White",18240,"FT"
711,"F","White",17817,"PT"
712,"F","White",18554,"FT"
713,"F","White",18381,"PT"
714,"F","White",18732,"PT"
715,"F","White",17917,"PT"
716,"F","White",18526,"PT"
717,"F","White",17593,"FT"
718,"F","White",17786,"PT"
719,"F","White",16428,"FT"
720,"F","White",17805,"FT"
721,"F","White",17885,"PT"
722,"F","White",17955,"PT"
723,"F","White",18126,"PT"
724,"F","White",19391,"PT"
725,"F","White",17257,"PT"
726,"F","White",17851,"PT"
727,"F","White",17978,"PT"
728,"F","White",20198,"FT"
729,"F","White",20620,"PT"
730,"F","White",19117,"PT"
731,"F","White",21466,"FT"
732,"F","White",17138,"FT"
733,"F","White",18018,"PT"
734,"M","White",18352,"PT"
735,"F","White",19567,"FT"
736,"F","White",20242,"PT"
737,"F","White",18024,"PT"
738,"F","White",19590,"PT"
739,"F","White",18378,"PT"
740,"F","White",18380,"FT"
741,"F","White",19623,"FT"
742,"F","White",16246,"PT"
743,"F","White",24012,"FT"
744,"F","White",18008,"PT"
745,"F","White",19530,"FT"
746,"F","White",17173,"PT"
747,"F","White",17559,"PT"
748,"F","White",19524,"PT"
749,"F","White",16482,"PT"
750,"F","White",17993,"PT"
751,"F","White",18121,"FT"
752,"F","White",19297,"FT"
753,"F","White",19607,"FT"
754,"M","White",17441,"PT"
755,"F","White",15907,"PT"
756,"M","White",17519,"PT"
757,"F","White",18407,"PT"
758,"F","White",15982,"PT"
759,"F","White",15899,"PT"
760,"M","White",17166,"PT"
761,"F","White",17193,"FT"
762,"M","White",17789,"PT"
763,"F","White",17999,"PT"
764,"F","White",19258,"PT"
765,"F","White",17245,"PT"
766,"F","White",15919,"PT"
767,"F","White",18713,"PT"
768,"F","White",17785,"FT"
769,"F","White",17874,"FT"
770,"F","White",19580,"FT"
771,"F","White",19601,"FT"
772,"F","White",17988,"PT"
773,"F","White",18377,"FT"
774,"F","White",15980,"PT"
775,"F","White",16861,"FT"
776,"F","White",15951,"PT"
777,"F","White",17174,"PT"
778,"F","White",17769,"FT"
779,"F","White",17192,"PT"
780,"M","White",18355,"PT"
781,"F","White",17189,"PT"
782,"F","White",18374,"PT"
783,"F","White",19595,"PT"
784,"F","White",20212,"PT"
785,"F","White",19562,"PT"
786,"F","White",17156,"PT"
787,"F","White",17757,"FT"
788,"F","White",19582,"PT"
789,"F","White",17170,"PT"
790,"F","White",17829,"FT"
791,"F","White",19644,"FT"
792,"F","White",17200,"FT"
793,"F","White",25428,"FT"
794,"F","White",18402,"FT"
795,"F","White",18479,"PT"
796,"F","White",17191,"FT"
797,"F","White",17198,"PT"
798,"F","White",17131,"PT"
799,"F","White",17198,"PT"
800,"F","White",17141,"PT"
801,"M","White",17201,"PT"
802,"F","White",18361,"FT"
803,"F","White",18424,"PT"
804,"M","White",17149,"PT"
805,"F","White",18981,"PT"
806,"M","White",17162,"PT"
807,"F","White",19644,"FT"
808,"F","White",18376,"PT"
809,"F","White",18346,"PT"
810,"F","White",17190,"PT"
811,"F","White",17133,"PT"
812,"F","White",17171,"PT"
813,"F","White",19624,"FT"
814,"M","White",17145,"PT"
815,"F","White",17134,"PT"
816,"F","White",17186,"PT"
817,"F","White",17128,"FT"
818,"F","White",17763,"PT"
819,"F","White",17983,"FT"
820,"M","White",17194,"FT"
821,"F","White",17157,"PT"
822,"F","White",17811,"PT"
823,"F","White",19604,"FT"
824,"F","White",17130,"PT"
825,"F","White",17534,"PT"
826,"F","White",17804,"FT"
827,"M","White",18423,"FT"
828,"M","White",22044,"FT"
829,"F","White",17154,"PT"
830,"F","White",18376,"PT"
831,"M","White",17753,"FT"
832,"M","White",22049,"FT"
833,"F","White",18002,"FT"
834,"F","White",22025,"PT"
835,"F","White",17121,"PT"
836,"F","White",18419,"PT"
837,"F","White",16552,"PT"
838,"M","White",19030,"PT"
839,"F","White",18424,"PT"
840,"F","White",17129,"PT"
841,"F","White",17163,"PT"
842,"F","White",21433,"FT"
843,"F","White",17189,"PT"
844,"F","White",23239,"FT"
845,"F","White",21166,"PT"
846,"F","White",23652,"FT"
847,"F","Black",18706,"PT"
848,"F","White",21488,"PT"
849,"F","Black",22124,"FT"
850,"F","Black",21994,"FT"
851,"F","Black",19706,"FT"
852,"F","Black",21217,"PT"
853,"F","Black",19608,"FT"
854,"F","Black",21126,"FT"
855,"F","Black",23334,"FT"
856,"F","Black",19608,"PT"
857,"M","Black",19172,"FT"
858,"F","Black",18996,"FT"
859,"M","Black",18823,"FT"
860,"F","Black",20202,"FT"
861,"F","Black",19338,"FT"
862,"M","Black",20070,"FT"
863,"F","Black",19553,"FT"
864,"F","Black",20075,"FT"
865,"M","Black",20053,"PT"
866,"F","Black",19092,"FT"
867,"F","Other",18498,"FT"
868,"F","Black",19556,"FT"
869,"F","Black",23895,"FT"
870,"F","Black",20956,"FT"
871,"M","Black",18696,"FT"
872,"F","Black",19818,"FT"
873,"F","Black",18561,"FT"
874,"F","Black",19735,"FT"
875,"F","Black",18805,"FT"
876,"F","Black",19320,"FT"
877,"F","Black",21109,"FT"
878,"F","Black",19115,"FT"
879,"F","Black",17160,"PT"
880,"F","Black",20107,"FT"
881,"F","Black",20493,"FT"
882,"F","Black",20008,"FT"
883,"F","Black",19292,"PT"
884,"M","Black",18314,"FT"
885,"F","Black",18177,"FT"
886,"M","Other",20388,"FT"
887,"F","Black",18160,"PT"
888,"F","Black",20157,"FT"
889,"F","Black",21426,"FT"
890,"F","Black",19483,"PT"
891,"F","Black",18206,"FT"
892,"M","Black",18517,"FT"
893,"F","Black",17875,"PT"
894,"F","Other",18809,"FT"
895,"F","Black",19515,"FT"
896,"F","Black",19232,"FT"
897,"F","Black",19779,"FT"
898,"F","Black",18499,"FT"
899,"F","Black",21668,"FT"
900,"F","Black",18950,"FT"
901,"F","Black",19621,"FT"
902,"F","Black",17516,"FT"
903,"M","Black",19260,"FT"
904,"M","Black",18873,"FT"
