"Film.Name","Budget","US.Release","US.Box.Office","Worldwide.Box.Office","International.Box.Office","Genre","Rating","Production.Method","Sequel"
"Live Free or Die Hard","$110,000,000","6/27/2007","$134,529,403","$383,512,208","$248,982,805","Action","PG-13","Live Action",1
"Ratatouille","$150,000,000","6/29/2007","$206,445,654","$620,421,654","$413,976,000","Comedy","G","Digital Animation",0
"Transformers, The","$151,000,000","7/3/2007","$319,246,193","$708,226,810","$388,980,617","Action","PG-13","Live Action",0
"Harry Potter and the Order of the Phoenix","$150,000,000","7/11/2007","$292,004,738","$938,468,864","$646,464,126","Adventure","PG-13","Animation/Live Action",1
"I Now Pronounce You Chuck and Larry","$85,000,000","7/20/2007","$119,684,970","$185,668,156","$65,983,186","Comedy","PG-13","Live Action",0
"Hairspray (2007)","$75,000,000","7/20/2007","$118,823,091","$206,823,091","$88,000,000","Musical","PG","Live Action",0
"Simpsons Movie, The","$72,500,000","7/27/2007","$183,135,014","$526,870,191","$343,735,177","Comedy","PG-13","Digital Animation",0
"Bourne Ultimatum, The","$130,000,000","8/3/2007","$227,471,070","$442,154,127","$214,683,057","Action","PG-13","Live Action",1
"Daddy Day Camp","$76,000,000","8/8/2007","$13,235,267","$18,197,398","$4,962,131","Comedy","PG","Live Action",1
"Rush Hour 3","$180,000,000","8/10/2007","$140,125,968","$253,025,968","$112,900,000","Action","PG-13","Live Action",1
"Stardust","$70,000,000","8/10/2007","$38,634,938","$135,556,675","$96,921,737","Adventure","PG-13","Live Action",0
"Invasion, The","$80,000,000","8/17/2007","$15,074,191","$40,147,042","$25,072,851","Thriller/Suspense","PG-13","Live Action",0
"Last Legion, The","$67,000,000","8/17/2007","$5,932,060","$21,439,015","$15,506,955","Action","PG-13","Live Action",0
"Kingdom, The","$72,500,000","9/28/2007","$47,467,250","$86,509,602","$39,042,352","Action","R","Live Action",0
"American Gangster","$100,000,000","11/2/2007","$130,164,645","$263,851,027","$133,686,382","Drama","R","Live Action",0
"Bee Movie","$150,000,000","11/2/2007","$126,631,277","$287,081,379","$160,450,102","Comedy","PG","Digital Animation",0
"Beowulf","$150,000,000","11/16/2007","$82,195,215","$194,995,215","$112,800,000","Adventure","PG-13","Digital Animation",0
"His Dark Materials: The Golden Compass","$205,000,000","12/7/2007","$70,107,728","$365,701,494","$295,593,766","Adventure","PG-13","Live Action",0
"I am Legend","$150,000,000","12/14/2007","$256,386,216","$584,738,073","$328,351,857","Horror","PG-13","Live Action",0
